Designator,Mid X,Mid Y,Rotation,Layer
D1,54.2925,-80.9625,90.0,bottom
D10,73.3425,-157.1625,90.0,bottom
D11,59.53125,-157.1625,90.0,bottom
D2,73.3425,-80.9625,90.0,bottom
D3,54.2925,-100.0125,90.0,bottom
D4,73.3425,-100.0125,90.0,bottom
D5,54.2925,-119.0625,90.0,bottom
D6,73.3425,-119.0625,90.0,bottom
D7,54.2925,-138.1125,90.0,bottom
D8,73.3425,-138.1125,90.0,bottom
D9,54.2925,-157.1625,90.0,bottom
MX1,47.14875,-74.08195,0.0,top
MX10,66.19875,-150.28195,0.0,top
MX11,56.67375,-153.26995,0.0,top
MX2,66.19875,-74.08195,0.0,top
MX3,47.14875,-93.13195,0.0,top
MX4,66.19875,-93.13195,0.0,top
MX5,47.14875,-112.18195,0.0,top
MX6,66.19875,-112.18195,0.0,top
MX7,47.14875,-131.23195,0.0,top
MX8,66.19875,-131.23195,0.0,top
MX9,47.14875,-150.28195,0.0,top
U1,56.525,-56.0,0.0,bottom
